epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,663.082,1.77282,2.68532,1.15538,0.23715,0.26439,0.177,0.09954,1.7088,2.19578,1.10721,0.000256162,0.000256162,0.000256162
2,1310.7,1.80259,2.44008,1.17273,0.23294,0.26554,0.1778,0.09992,1.73393,2.22549,1.11616,0.000507421,0.000507421,0.000507421
3,1956.52,1.81488,2.40153,1.16881,0.26043,0.27301,0.18416,0.10665,1.71433,2.14443,1.10334,0.000753606,0.000753606,0.000753606
4,2599.81,1.78105,2.34709,1.15441,0.27127,0.28002,0.20463,0.11885,1.70758,2.0953,1.10348,0.000746161,0.000746161,0.000746161
5,3241.58,1.75404,2.30387,1.1389,0.26213,0.2827,0.20217,0.11746,1.68276,2.04622,1.09949,0.000738548,0.000738548,0.000738548
6,3885.85,1.73323,2.26588,1.13502,0.27778,0.29636,0.22438,0.13081,1.68255,2.06569,1.09158,0.000730935,0.000730935,0.000730935
7,4527.99,1.7209,2.21296,1.13433,0.28537,0.30498,0.23443,0.13531,1.66242,2.01751,1.08163,0.000723321,0.000723321,0.000723321
8,5170.56,1.71329,2.18714,1.11877,0.27928,0.2996,0.21198,0.12515,1.67227,2.02255,1.07727,0.000715708,0.000715708,0.000715708
9,5813.04,1.69048,2.15792,1.11374,0.29394,0.30373,0.23824,0.14062,1.6348,2.02158,1.07298,0.000708095,0.000708095,0.000708095
10,6454.79,1.67152,2.12983,1.10303,0.28592,0.32123,0.24002,0.14108,1.65444,2.01452,1.07034,0.000700482,0.000700482,0.000700482
11,7097.33,1.67274,2.11126,1.10157,0.29248,0.32456,0.24605,0.14751,1.63031,1.9622,1.07523,0.000692869,0.000692869,0.000692869
12,7739.91,1.65142,2.10029,1.1041,0.31484,0.3221,0.25614,0.15166,1.62981,1.94556,1.06509,0.000685256,0.000685256,0.000685256
13,8382.17,1.64028,2.0574,1.09217,0.29142,0.32157,0.25234,0.15079,1.62233,2.02099,1.06843,0.000677643,0.000677643,0.000677643
14,9022.81,1.62678,2.03397,1.08342,0.31438,0.32484,0.25672,0.15287,1.62714,1.91004,1.06519,0.00067003,0.00067003,0.00067003
15,9665.87,1.61945,2.02267,1.0866,0.3194,0.33677,0.26974,0.16351,1.61692,1.92381,1.06651,0.000662417,0.000662417,0.000662417
16,10310.7,1.60986,2.00486,1.08263,0.30892,0.335,0.26258,0.15896,1.61959,1.91719,1.06456,0.000654804,0.000654804,0.000654804
17,11009.6,1.60778,1.98978,1.07667,0.32824,0.3345,0.27138,0.16356,1.60711,1.91876,1.05661,0.00064719,0.00064719,0.00064719
18,11662.6,1.59481,1.95477,1.07263,0.31265,0.33399,0.2653,0.16022,1.60715,1.93479,1.06274,0.000639577,0.000639577,0.000639577
19,12320.7,1.59227,1.9557,1.07412,0.32091,0.33858,0.26887,0.16269,1.60415,1.91745,1.05997,0.000631964,0.000631964,0.000631964
20,12970.1,1.57964,1.93461,1.06183,0.32267,0.33276,0.26635,0.16174,1.5988,1.87966,1.05229,0.000624351,0.000624351,0.000624351
21,13615.6,1.57854,1.92157,1.0675,0.32454,0.33485,0.2751,0.16663,1.59861,1.87535,1.05486,0.000616738,0.000616738,0.000616738
22,14261.1,1.56243,1.9008,1.0591,0.31898,0.33812,0.26894,0.16149,1.59946,1.89086,1.05763,0.000609125,0.000609125,0.000609125
23,14905.5,1.56122,1.87499,1.05639,0.33907,0.34241,0.27745,0.16783,1.59734,1.88755,1.05457,0.000601512,0.000601512,0.000601512
24,15551.2,1.55929,1.87452,1.05759,0.31743,0.35728,0.27934,0.16749,1.60234,1.90111,1.05898,0.000593899,0.000593899,0.000593899
25,16194.6,1.54773,1.85254,1.05199,0.31706,0.34332,0.28067,0.17107,1.59754,1.88284,1.06074,0.000586286,0.000586286,0.000586286
26,16838.4,1.54225,1.83608,1.04878,0.33684,0.35074,0.28603,0.17416,1.58483,1.86953,1.05125,0.000578672,0.000578672,0.000578672
27,17492.1,1.54507,1.82939,1.05116,0.34463,0.34296,0.2849,0.17417,1.58627,1.85158,1.05564,0.000571059,0.000571059,0.000571059
28,18141.5,1.52613,1.80676,1.04746,0.33153,0.34707,0.27951,0.17069,1.5914,1.90065,1.05073,0.000563446,0.000563446,0.000563446
29,18790.6,1.5289,1.79288,1.04296,0.33673,0.3519,0.28705,0.17476,1.60621,1.87674,1.06398,0.000555833,0.000555833,0.000555833
30,19463.2,1.51548,1.77188,1.04252,0.33329,0.34805,0.28563,0.17408,1.5872,1.88236,1.05977,0.00054822,0.00054822,0.00054822
31,20162.6,1.51891,1.75873,1.037,0.33479,0.35515,0.28867,0.17698,1.59113,1.90388,1.05434,0.000540607,0.000540607,0.000540607
32,20878.9,1.50562,1.74189,1.03737,0.32963,0.36109,0.2831,0.17162,1.58803,1.87743,1.05353,0.000532994,0.000532994,0.000532994
33,21597.5,1.50483,1.72839,1.03188,0.33878,0.35372,0.29137,0.17983,1.58039,1.85312,1.05146,0.000525381,0.000525381,0.000525381
34,22317.9,1.49747,1.71365,1.03254,0.32772,0.36117,0.28852,0.17604,1.59449,1.88537,1.05774,0.000517768,0.000517768,0.000517768
35,23030.2,1.49075,1.69856,1.02743,0.34381,0.3456,0.28836,0.17641,1.58759,1.86856,1.0549,0.000510155,0.000510155,0.000510155
36,23800.3,1.47797,1.6749,1.02483,0.32536,0.36438,0.29013,0.17687,1.59164,1.89593,1.05577,0.000502541,0.000502541,0.000502541
37,24517.1,1.47706,1.66053,1.02604,0.31592,0.35583,0.28605,0.17515,1.58591,1.89203,1.05461,0.000494928,0.000494928,0.000494928
38,25204.8,1.46583,1.63225,1.01931,0.32142,0.35767,0.28088,0.17117,1.59366,1.94118,1.0614,0.000487315,0.000487315,0.000487315
39,25898.5,1.46789,1.63305,1.01582,0.32944,0.35943,0.28158,0.16874,1.5948,1.9117,1.06114,0.000479702,0.000479702,0.000479702
40,26678.2,1.46303,1.61878,1.01391,0.3321,0.35508,0.29127,0.17911,1.59048,1.91324,1.05811,0.000472089,0.000472089,0.000472089
41,27390.5,1.46192,1.60874,1.01654,0.3411,0.34241,0.28595,0.17466,1.59035,1.9095,1.05815,0.000464476,0.000464476,0.000464476
42,28070.7,1.45508,1.5941,1.01185,0.32532,0.3593,0.28684,0.17482,1.58796,1.91543,1.05868,0.000456863,0.000456863,0.000456863
43,28802.2,1.43535,1.56586,1.00877,0.32426,0.35431,0.28422,0.17227,1.5965,1.92919,1.05869,0.00044925,0.00044925,0.00044925
44,29544.2,1.43073,1.55152,1.00626,0.32609,0.35554,0.28408,0.17413,1.59177,1.94815,1.05532,0.000441637,0.000441637,0.000441637
45,30308,1.43513,1.53491,1.00152,0.32612,0.34613,0.2816,0.17099,1.58702,1.92778,1.05497,0.000434024,0.000434024,0.000434024
46,31046.8,1.42774,1.52172,1.00451,0.32259,0.34679,0.28174,0.17262,1.59126,1.93551,1.05887,0.000426411,0.000426411,0.000426411
